,0
0,"Томаты Медовые черри красные круглые, 200г. 149,99 руб
"
1,"Огурцы Фасованные, 450г. 129,99 руб
"
2,"Окорок свиной без кости Перекрёсток. 319,99 руб
"
3,"Яблоки сезонные. 109,99 руб
"
4,"Томаты Рост Фламенко красные сливовидные. 299,99 руб
"
5,"Апельсины. 99,99 руб
"
6,"Клубника. 499,99 руб
"
7,"Молоко Село Зелёное ультрапастеризованное 3.2%, 950мл. 79,99 руб
"
8,"Яблоки Гольден Маркет Перекрёсток. 129,99 руб
"
9,"Йогурт Teos Греческий 2%, 250г. 59,99 руб
"
10,"Лук зеленый Маркет Fresh, 100г. 59,99 руб
"
11,"Влажный корм Whiskas для кошек желе с курицей, 75г. 20,99 руб
"
12,"Укроп зеленый Маркет Fresh, 100г. 59,99 руб
"
13,"Томаты черри на ветке, 250г. 119,99 руб
"
14,"Кабачки. 119,99 руб
"
15,"Биолакт Тёма без сахара с 8 месяцев 3.4%, 206г. 39,99 руб
"
16,"Яблоки Гренни смит Маркет Перекрёсток. 129,99 руб
"
17,"Голубика Маркет Fresh Марокко, 125г. 169,99 руб
"
18,"Томаты протёртые Маркет Перекрёсток, 200г. 59,99 руб
"
19,"Продукт творожный Даниссимо Браво шоколад 6.7%, 130г. 49,99 руб
"
20,"Лапша Доширак быстрого приготовления со вкусом курицы, 90г. 54,99 руб
"
21,"Масло подсолнечное Слобода рафинированное дезодорированное высший сорт, 1л. 129,99 руб
"
22,"Масло сладкосливочное Экомилк Традиционное несолёное высшего сорта 82.5%, 180г. 179,99 руб
"
23,"Молоко питьевое пастеризованное 2.5% ПЭТ Зелёная Линия, 900мл. 64,99 руб
"
24,"Влажный корм для кошек Felix Аппетитные кусочки с кроликом в желе, 75г. 21,99 руб
"
25,"Молоко отборное пастеризованное 3.4-6% Зелёная Линия, 900мл. 72,99 руб
"
26,"Влажный корм Whiskas для кошек желе с говядиной и ягненком, 75г. 20,99 руб
"
27,"Колбаса Вязанка Сливушка вареная, 375г. 149,99 руб
"
28,"Авокадо Хасс спелое, 2шт. 359,98 руб
"
29,"Продукт творожный Даниссимо с хрустящими шоколадными шариками 7.2%, 130г. 49,99 руб
"
30,"Влажный корм Whiskas для кошек паштет с уткой, 75г. 20,99 руб
"
31,"Шампиньоны Маркет Fresh, 400г. 129,99 руб
"
32,"Вода ФрутоНяня питьевая негазированная, 330мл. 26,99 руб
"
33,"Творог Простоквашино 5%, 200г. 89,99 руб
"
34,"Сосиски варёные Клинский молочные категории Б, 470г. 249,99 руб
"
35,"Влажный корм для кошек Felix Аппетитные кусочки с курицей в желе, 75г. 21,99 руб
"
36,"Гречка Увелка Экстра, 5х80г. 64,99 руб
"
37,"Йогурт Савушкин лесная ягода 2%, 120г. 24,99 руб
"
38,"Влажный корм Whiskas для кошек паштет с курицей и индейкой, 75г. 20,99 руб
"
39,"Сыр творожный Almette Сливочный 60%, 150г. 109,99 руб
"
40,"Сметана Брест-Литовск 15%, 300г. 74,99 руб
"
41,"Вода ФрутоНяня питьевая негазированная, 1.5л. 49,99 руб
"
42,"Влажный корм для кошек Felix Аппетитные кусочки с говядиной в желе, 75г. 21,99 руб
"
43,"Сыр голландский тёртый 45% Пр!ст, 200г. 209,99 руб
"
44,"Корейка свиная без кости Перекрёсток. 329,99 руб
"
45,"Туалетная бумага Papia Балийский цветок 3 слоя, 8шт. 219,99 руб
"
46,"Биотворог Тёма с 6 месяцев 4.5%, 95г. 29,99 руб
"
47,"Котлета из мяса индейки натуральная охлаждённая Зелёная Линия, 500г. 279,99 руб
"
